hsa.let.7a.1,hsa.let.7a.2,hsa.let.7a.3,hsa.let.7b,hsa.let.7c,hsa.let.7d,hsa.let.7e,hsa.let.7f.1,hsa.let.7f.2,hsa.let.7g,hsa.let.7i,hsa.mir.100,hsa.mir.101.1,hsa.mir.101.2,hsa.mir.103a.1,hsa.mir.103a.2,hsa.mir.106a,hsa.mir.106b,hsa.mir.107,hsa.mir.10a,hsa.mir.10b,hsa.mir.1180,hsa.mir.122,hsa.mir.1247,hsa.mir.125a,hsa.mir.125b.1,hsa.mir.125b.2,hsa.mir.126,hsa.mir.1266,hsa.mir.1269a,hsa.mir.127,hsa.mir.128.1,hsa.mir.128.2,hsa.mir.1287,hsa.mir.1295b,hsa.mir.1296,hsa.mir.1301,hsa.mir.1306,hsa.mir.1307,hsa.mir.130a,hsa.mir.130b,hsa.mir.132,hsa.mir.134,hsa.mir.136,hsa.mir.139,hsa.mir.140,hsa.mir.141,hsa.mir.142,hsa.mir.143,hsa.mir.144,hsa.mir.145,hsa.mir.1468,hsa.mir.146a,hsa.mir.146b,hsa.mir.148a,hsa.mir.148b,hsa.mir.149,hsa.mir.150,hsa.mir.151a,hsa.mir.152,hsa.mir.153.2,hsa.mir.154,hsa.mir.155,hsa.mir.15a,hsa.mir.15b,hsa.mir.16.1,hsa.mir.16.2,hsa.mir.17,hsa.mir.181a.1,hsa.mir.181a.2,hsa.mir.181b.1,hsa.mir.181b.2,hsa.mir.181c,hsa.mir.181d,hsa.mir.182,hsa.mir.183,hsa.mir.185,hsa.mir.186,hsa.mir.188,hsa.mir.18a,hsa.mir.191,hsa.mir.192,hsa.mir.193a,hsa.mir.193b,hsa.mir.194.1,hsa.mir.194.2,hsa.mir.195,hsa.mir.196b,hsa.mir.197,hsa.mir.1976,hsa.mir.199a.1,hsa.mir.199a.2,hsa.mir.199b,hsa.mir.19a,hsa.mir.19b.1,hsa.mir.19b.2,hsa.mir.200a,hsa.mir.200b,hsa.mir.200c,hsa.mir.203a,hsa.mir.204,hsa.mir.20a,hsa.mir.20b,hsa.mir.21,hsa.mir.210,hsa.mir.214,hsa.mir.215,hsa.mir.216a,hsa.mir.216b,hsa.mir.217,hsa.mir.218.1,hsa.mir.218.2,hsa.mir.219a.1,hsa.mir.22,hsa.mir.221,hsa.mir.222,hsa.mir.223,hsa.mir.224,hsa.mir.2355,hsa.mir.23a,hsa.mir.23b,hsa.mir.24.1,hsa.mir.24.2,hsa.mir.25,hsa.mir.26a.1,hsa.mir.26a.2,hsa.mir.26b,hsa.mir.27a,hsa.mir.27b,hsa.mir.28,hsa.mir.29a,hsa.mir.29b.1,hsa.mir.29b.2,hsa.mir.29c,hsa.mir.301a,hsa.mir.3065,hsa.mir.3074,hsa.mir.30a,hsa.mir.30b,hsa.mir.30c.1,hsa.mir.30c.2,hsa.mir.30d,hsa.mir.30e,hsa.mir.32,hsa.mir.320a,hsa.mir.324,hsa.mir.326,hsa.mir.328,hsa.mir.330,hsa.mir.331,hsa.mir.335,hsa.mir.337,hsa.mir.338,hsa.mir.339,hsa.mir.33a,hsa.mir.33b,hsa.mir.340,hsa.mir.342,hsa.mir.345,hsa.mir.34a,hsa.mir.3607,hsa.mir.361,hsa.mir.3613,hsa.mir.3615,hsa.mir.362,hsa.mir.363,hsa.mir.3653,hsa.mir.365a,hsa.mir.365b,hsa.mir.3677,hsa.mir.369,hsa.mir.370,hsa.mir.374a,hsa.mir.374b,hsa.mir.375,hsa.mir.376c,hsa.mir.378a,hsa.mir.378c,hsa.mir.379,hsa.mir.381,hsa.mir.382,hsa.mir.409,hsa.mir.410,hsa.mir.411,hsa.mir.412,hsa.mir.421,hsa.mir.423,hsa.mir.424,hsa.mir.425,hsa.mir.429,hsa.mir.431,hsa.mir.432,hsa.mir.4326,hsa.mir.450a.1,hsa.mir.450a.2,hsa.mir.450b,hsa.mir.451a,hsa.mir.452,hsa.mir.454,hsa.mir.455,hsa.mir.4661,hsa.mir.4662a,hsa.mir.4677,hsa.mir.4772,hsa.mir.483,hsa.mir.484,hsa.mir.485,hsa.mir.486.1,hsa.mir.486.2,hsa.mir.487b,hsa.mir.493,hsa.mir.495,hsa.mir.497,hsa.mir.500a,hsa.mir.500b,hsa.mir.501,hsa.mir.502,hsa.mir.503,hsa.mir.505,hsa.mir.511,hsa.mir.532,hsa.mir.539,hsa.mir.542,hsa.mir.5589,hsa.mir.574,hsa.mir.576,hsa.mir.582,hsa.mir.584,hsa.mir.589,hsa.mir.590,hsa.mir.598,hsa.mir.616,hsa.mir.618,hsa.mir.625,hsa.mir.628,hsa.mir.629,hsa.mir.651,hsa.mir.652,hsa.mir.653,hsa.mir.654,hsa.mir.660,hsa.mir.664a,hsa.mir.664b,hsa.mir.671,hsa.mir.6715a,hsa.mir.675,hsa.mir.7.1,hsa.mir.708,hsa.mir.744,hsa.mir.758,hsa.mir.766,hsa.mir.769,hsa.mir.874,hsa.mir.885,hsa.mir.889,hsa.mir.9.1,hsa.mir.9.2,hsa.mir.9.3,hsa.mir.92a.1,hsa.mir.92a.2,hsa.mir.92b,hsa.mir.93,hsa.mir.942,hsa.mir.95,hsa.mir.96,hsa.mir.98,hsa.mir.99a,hsa.mir.99b,samples,groups
46125,46136,46362,85902,2914,1911,2906,20025,19993,2783,2212,47199,68727,69358,51538,51673,38,2975,846,125238,36200,58,210900,695,1347,807,849,37711,172,1,878,468,348,95,37,1,108,42,6179,63,218,308,316,62,1652,12417,31,1462,104979,134,3150,35,200,1110,673893,1913,25,499,18349,3189,10,7,411,695,938,1173,1187,7055,8324,15721,3186,3082,92,43,33892,10013,510,606,10,73,807,204072,7398,804,54323,59336,219,618,984,8,1683,2342,2156,299,660,548,1363,1112,210,16777,45,4457,46,633766,451,32,1108,46,37,3302,42,33,22,476672,1580,381,165,916,48,4076,2832,1803,1766,67228,12345,12378,5087,1422,6143,28833,40132,2612,2814,21356,30,93,14,53927,2236,634,818,126211,59564,207,8184,88,11,153,280,78,348,31,1475,118,72,54,253,241,33,1033,172,2681,35,52,104,21,20,364,354,5,10,11,4357,369,101024,5,1665,29,738,78,34,57,25,8,7,9,1197,263,235,96,17,18,35,9,11,45,411,1363,37,3303,31,117,79,15,6,229,2,66,65,5,23,14,96,1614,52,293,114,66,95,22,8063,13,1039,4,492,28,139,248,1207,99,328,33,16,106,78,58,8,118,10,29,545,637,29,23,36,105,31,6,54,26,113,123,372,3862,25,113,131,113,68616,60662,19,32744,39,65,38,213,881,39577,TCGA.DD.AADY,NO
23894,23652,23692,9439,9544,1258,1302,12945,13581,2053,312,36023,86343,87380,37469,37424,11,1021,913,30928,10226,29,66142,57,575,1477,1557,17960,4,1989,1355,517,170,74,47,22,8,21,7279,93,72,148,374,126,1113,7276,9,1406,103645,446,2415,192,45,1359,693386,567,5,270,10227,1700,5,15,118,1050,758,599,555,2141,1211,1324,159,104,80,14,727,140,243,935,21,19,828,66086,1078,343,15394,16832,92,7,804,11,843,1336,1472,139,327,343,88,137,37,192,1015,950,28,295251,124,19,46,0,1,47,31,30,21,760294,250,31,224,2047,141,4006,8647,1615,1482,35169,1998,2079,3161,1443,7671,9869,18054,552,627,9563,24,7,32,119771,3480,591,853,74017,58822,772,415,101,9,88,15,56,52,59,675,110,168,5,163,65,14,1615,64,2401,113,5,100,10,15,611,608,19,47,27,16985,1255,104,11,4717,44,1338,159,34,60,44,12,41,11,172,150,139,17,28,23,8,18,14,63,2483,4282,15,4904,8,1468,77,14,5,69,7,216,189,9,13,12,95,1066,10,89,40,13,289,37,7374,13,856,8,661,72,762,235,353,84,24,29,23,87,28,2,11,26,3,78,515,308,27,14,135,132,39,0,179,42,15,36,58,738,66,32,47,42,16969,14492,18,13693,11,32,1,101,7334,21366,TCGA.CC.A7IH,NO
102617,103224,103935,38116,49130,2160,39910,88321,90034,9855,2865,29932,63421,64371,147002,147852,35,3268,680,60331,386600,60,97,687,4237,2319,2719,10718,6,2,256,769,566,114,10,34,181,61,7925,673,422,887,90,10,185,11805,54,12462,261308,208,3085,29,605,13374,135667,1008,926,2734,16642,1584,18,3,4987,2623,2923,1874,1838,4976,8815,10433,1544,1353,179,27,68195,25703,1120,2012,34,131,2790,3207,2151,1060,415,518,48,857,3225,62,11123,16499,17355,298,407,385,10,19,429,19,1031,2456,43,2108991,1959,236,7,81,137,6832,523,461,29,728249,921,337,1044,281,268,15195,3063,4266,4502,42740,5004,5059,2479,4846,3657,19047,23027,1382,1298,3125,73,748,24,69707,1490,1408,1618,27731,41994,138,4151,315,11,123,73,80,269,7,3377,143,73,20,608,1346,38,826,32,4081,62,51,159,11,35,704,688,37,5,2,12899,435,406,6,12166,73,276,40,6,12,4,1,2,51,1644,984,787,1,6,5,114,73,69,440,428,925,87,1368,15,63,93,5,6,302,2,357,357,3,7,4,21,4070,84,660,128,547,194,47,11390,3,6787,0,374,100,3531,417,652,158,141,51,15,1115,40,1009,11,204,198,11,1072,149,14,81,0,48,204,26,274,5,72,113,68,26,18,21946,22116,22048,22761,20923,1157,47358,67,7,93,681,9131,166712,TCGA.CC.A7IJ,NO
42745,42906,43150,22584,1935,1624,3254,34582,35250,3349,1101,5817,17925,18173,57486,57531,44,1241,468,30589,60393,66,91580,3,1032,347,358,20769,8,327,812,348,251,27,11,3,40,24,5770,87,75,328,272,40,241,10680,9,9603,285893,397,6340,47,1792,1714,359571,1224,24,1637,10683,2137,46,11,2318,944,499,723,703,2767,2952,3389,401,435,189,38,32373,10863,658,1461,20,34,1202,140657,2842,468,38554,43569,72,15,1002,28,1525,2353,2598,72,189,162,103,102,88,24203,46,1147,167,2846009,314,29,473,49,32,2020,43,29,11,1348412,424,100,685,497,70,5905,3975,2427,2402,17171,4086,3960,3445,2339,5166,11609,40951,3042,3384,24348,22,22,16,29628,2688,749,841,68093,35033,169,1577,183,7,86,87,53,74,44,2282,140,69,39,157,955,29,1246,216,1909,65,39,148,66,15,526,522,15,12,14,3693,374,4159,7,1489,23,670,63,34,37,28,12,15,10,706,339,459,11,9,9,27,18,17,30,1262,949,17,854,63,135,133,70,3,287,9,114,126,4,29,10,39,1167,25,239,53,39,131,34,7814,5,997,13,585,74,399,88,582,138,74,31,3,355,26,494,4,74,64,33,462,920,45,16,20,57,47,29,144,28,181,47,61,2350,30,206,202,205,14801,12941,100,17882,19,195,77,293,642,24521,TCGA.DD.AACI,NO
47394,47138,47128,47497,19889,1378,5372,23110,23681,2884,825,50087,97098,98357,41133,41448,7,1668,471,274608,29086,30,98725,137,2299,2119,2279,19087,13,5,2530,229,137,91,134,17,9,30,6086,685,73,225,1549,389,1476,5853,69,5081,789304,570,13961,124,109,5799,290987,381,47,1913,7163,1199,79,40,372,618,644,678,716,3763,2503,7043,382,331,197,26,10637,2424,317,1265,10,31,2180,170105,2434,388,26440,29814,375,19,1293,21,8550,13289,13814,149,367,376,1910,1711,220,1628,206,1316,19,418758,448,193,218,12,10,515,108,101,28,701049,176,47,905,213,149,8451,7958,4400,4292,35540,7072,7152,7494,5194,15066,23916,45174,1027,1157,11572,24,671,20,270491,3921,1946,2450,26508,125967,270,2139,75,33,158,36,67,722,225,1959,98,266,33,151,385,51,934,159,1911,57,17,81,14,11,356,354,8,63,36,6193,200,23251,58,11162,205,5399,341,81,118,50,79,29,5,453,1620,255,195,27,36,6,37,38,165,1367,462,16,5118,12,474,40,25,738,220,40,175,200,41,92,80,152,877,10,140,34,69,318,152,3496,17,2480,21,756,73,2069,275,215,80,79,24,13,158,45,187,24,48,21,167,195,233,26,15,79,4392,84,56,188,132,37,69,124,1142,94,164,160,135,35385,31722,90,11409,7,23,15,136,7032,97861,TCGA.UB.AA0V,YES
30631,30692,29893,4302,3680,2324,5687,32279,37622,5536,448,16538,12263,12395,52572,52824,15,1125,634,14010,109338,98,48472,0,1592,439,486,11321,26,5574,194,358,109,3,233,11,27,11,6800,49,68,93,41,15,413,7979,1,965,74991,238,1342,14,33,3379,516622,523,80,130,10054,389,25,1,178,684,1728,607,600,3060,858,1049,146,133,30,3,1132,288,322,3488,7,31,2166,91961,502,992,14935,17449,74,1739,3295,10,161,232,267,105,262,239,228,164,58,955,1915,2013,13,285612,547,5,108,61,118,5127,3,5,26,182887,155,29,78,441,46,1836,7033,1261,1256,27473,1649,1691,3968,479,5205,18072,11884,483,539,1078,21,66,93,84415,1419,1930,2130,50248,68770,348,1131,108,4,99,10,32,49,13,407,145,48,6,118,70,20,1922,50,1547,40,7,75,1,12,803,788,16,3,4,4272,178,522,1,3874,82,181,16,4,11,1,3,5,18,635,144,288,27,3,5,26,7,2,19,562,1288,26,1023,160,226,104,6,2,310,1,71,76,5,3,6,44,1095,10,138,16,38,154,10,3366,7,317,0,476,93,4941,162,722,100,24,107,30,41,27,452,4,13,100,8,207,157,4,8,1424,34,165,0,169,4,4,100,24,36,5,498,483,475,31608,24279,15,26129,72,2,1,137,1436,104294,TCGA.CC.A7IK,NO
61246,61035,60891,44115,7162,2544,4329,48942,49593,5140,2094,27866,38809,39378,68177,68845,22,1532,405,73251,24106,64,84312,18,1586,1003,1124,25826,10,3,42404,541,370,96,29,12,42,36,5243,448,195,385,17640,3253,1375,9706,31,35614,152734,796,5478,38,1740,13853,429015,1048,16,14388,4928,1095,56,429,8243,1528,737,1204,1230,6181,8837,11477,1139,1091,269,47,6298,1839,793,1413,18,73,2584,152747,1964,307,28357,32008,137,303,1307,58,6332,8940,7857,237,684,530,812,522,205,6432,97,3187,59,1347638,658,109,263,104,76,5582,89,90,22,638420,763,170,1548,66,173,6495,3331,2142,2088,29971,5702,5659,4250,2690,6162,12113,28326,1893,1925,9180,35,107,11,74028,1489,1475,1750,30474,62120,287,1186,139,14,128,96,67,259,504,2842,190,80,9,231,1850,86,814,258,2510,54,39,91,40,36,216,218,8,1122,707,4450,335,14537,196,3366,38,50925,1546,2359,1377,1315,548,310,17,734,847,917,88,682,816,24,41,29,110,2371,128,42,2051,10,97,86,73,6852,261,450,230,222,492,1079,224,93,1332,29,297,56,79,199,67,5582,771,2240,39,219,63,459,226,307,105,117,20,31,1525,44,475,17,95,58,971,462,174,14,38,4,4131,65,22,123,915,88,85,158,1402,2325,345,306,335,52192,44405,63,17934,52,14,6,226,2289,35785,TCGA.DD.AACC,NO
27668,27722,27966,27726,12885,794,2068,13923,14356,3557,772,40552,41657,42201,24024,24035,8,1770,333,23635,93994,33,146196,1,855,1842,2056,21861,10,765,359,469,340,13,45,2,19,35,3959,167,599,156,77,40,814,4397,7,3492,69045,290,2154,47,97,2717,632485,893,7,425,4652,942,23,5,351,921,511,810,795,3075,1931,2113,323,280,59,18,23482,6119,353,916,9,27,1525,172162,3816,1153,28121,32633,82,18,753,16,793,1195,1226,233,387,329,17,14,59,1134,12,1838,38,959224,1663,24,584,247,346,12431,15,15,22,588839,224,65,241,333,53,3831,2032,1269,1225,35010,4671,4797,3133,1398,3976,10190,34971,1994,2147,8556,16,40,8,38779,1364,1110,1128,37371,72017,131,678,58,8,117,48,87,252,13,1292,122,160,12,254,129,51,1402,176,1377,104,45,66,13,31,495,492,3,12,11,2579,235,8719,3,3503,76,294,43,10,24,11,6,2,5,532,169,384,1,12,5,18,11,5,48,625,796,32,887,6,84,57,12,4,193,2,170,162,3,7,9,32,516,13,126,33,47,146,27,2563,4,537,44,251,78,101,148,269,52,39,56,27,84,44,168,10,63,13,17,170,127,11,18,12,128,42,7,52,7,94,40,417,2502,15,259,293,288,29006,25175,25,16973,9,48,56,126,5766,15491,TCGA.2Y.A9H9,YES
25308,25454,25550,15542,5180,1786,2293,18790,19684,4180,1287,26504,22372,22370,45924,45750,23,1743,350,42223,150837,94,83386,4,758,1154,1175,25947,8,15721,1739,171,94,152,58,13,20,15,6588,194,96,283,870,223,388,4944,11,18875,249800,2473,4529,30,661,6186,569500,712,46,3797,5607,1226,41,23,4037,889,987,1360,1352,2015,1752,2392,268,249,116,11,15446,2724,439,1218,12,48,2439,89003,1377,849,10053,12276,60,760,1628,24,1996,3038,3662,250,460,411,28,29,56,39,2053,995,96,721668,1432,68,58,2,0,156,38,36,14,501996,468,159,913,793,100,6524,5460,3371,3287,21904,5537,5495,9542,4831,15248,10184,57117,3297,3417,14653,26,35,19,51535,1488,1101,1190,20890,65076,537,1411,115,25,160,63,113,50,112,641,141,91,9,214,716,51,1667,62,2646,103,18,48,51,10,1010,990,14,61,20,7248,497,105,19,4779,61,2001,84,57,66,27,21,5,41,545,476,838,6,22,23,3,19,17,73,9169,1020,38,3681,21,291,40,61,19,290,23,1118,1092,19,56,27,32,1002,19,146,36,76,434,138,2380,16,687,7,579,75,954,206,207,111,94,21,28,860,82,279,14,56,16,131,196,375,28,12,43,85,76,73,117,46,35,66,40,141,53,466,512,492,17846,15683,68,13546,28,30,18,198,1397,29476,TCGA.G3.AAV3,YES
79092,79772,79774,38461,25902,1661,4279,41089,42773,4071,898,151388,112568,112831,53903,53992,36,2512,1100,34178,230763,23,202422,0,1059,3900,4136,35500,6,9713,1719,1069,519,38,131,13,23,27,7443,224,268,240,348,52,2116,9277,9,3367,157874,3256,3092,172,153,5370,1075487,617,12,1121,14433,2366,16,13,448,1579,926,1162,1201,4475,3312,4234,472,441,76,20,2919,666,651,2020,9,40,1572,188533,2807,1812,76515,82770,110,472,1303,27,630,1058,1222,119,309,252,79,57,53,86,1126,2264,59,644390,569,21,247,276,287,9102,12,23,55,1461741,597,87,398,1181,72,5916,12041,3406,3140,40305,4560,4535,6219,2530,12815,11391,39975,1159,1163,10926,24,243,9,117085,5490,1722,2042,88370,84278,601,948,95,14,191,30,63,179,67,1390,80,126,19,239,207,120,1815,499,2226,95,11,83,38,21,1155,1150,5,24,34,6941,417,298,16,11336,194,1525,130,57,100,75,30,24,15,585,279,602,9,27,22,12,6,19,34,9444,1465,16,7294,8,748,55,26,63,267,13,1332,1348,11,35,19,60,931,12,136,60,27,355,35,7231,14,1030,34,594,71,234,481,332,134,37,17,34,111,24,155,16,53,12,68,356,300,20,23,1166,128,48,2,88,65,21,80,96,948,83,89,68,78,34059,29599,31,26675,13,30,4,250,15653,26203,TCGA.DD.AAEB,NO
