SyNG-BTS实验记录
格式: 癌症种类-标准化方法-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
====================================================================================================
KICH-raw-batch1-AE_head-success|2025-10-22 19:20:39|0:01:02|0.0%|0/480
KICH-raw-batch1-None-success|2025-10-22 19:21:12|0:00:33|0.2%|1/480
KICH-raw-batch2-AE_head-success|2025-10-22 19:22:14|0:01:02|0.4%|2/480
KICH-raw-batch2-None-success|2025-10-22 19:22:50|0:00:36|0.6%|3/480
KICH-raw-batch3-AE_head-success|2025-10-22 19:23:50|0:00:59|0.8%|4/480
KICH-raw-batch3-None-success|2025-10-22 19:24:23|0:00:32|1.0%|5/480
KICH-raw-batch4-AE_head-success|2025-10-22 19:25:20|0:00:56|1.2%|6/480
KICH-raw-batch4-None-success|2025-10-22 19:25:51|0:00:31|1.5%|7/480
KICH-raw-batch5-AE_head-success|2025-10-22 19:26:49|0:00:57|1.7%|8/480
KICH-raw-batch5-None-success|2025-10-22 19:27:21|0:00:31|1.9%|9/480
KICH-raw-batch6-AE_head-success|2025-10-22 19:28:18|0:00:57|2.1%|10/480
KICH-raw-batch6-None-success|2025-10-22 19:28:50|0:00:31|2.3%|11/480
KICH-raw-batch7-AE_head-success|2025-10-22 19:29:47|0:00:57|2.5%|12/480
KICH-raw-batch7-None-success|2025-10-22 19:30:20|0:00:32|2.7%|13/480
KICH-raw-batch8-AE_head-success|2025-10-22 19:31:17|0:00:56|2.9%|14/480
KICH-raw-batch8-None-success|2025-10-22 19:31:49|0:00:32|3.1%|15/480
KICH-raw-batch9-AE_head-success|2025-10-22 19:32:46|0:00:56|3.3%|16/480
KICH-raw-batch9-None-success|2025-10-22 19:33:17|0:00:31|3.5%|17/480
KICH-raw-batch10-AE_head-success|2025-10-22 19:34:15|0:00:57|3.8%|18/480
KICH-raw-batch10-None-success|2025-10-22 19:34:47|0:00:31|4.0%|19/480
KICH-raw-batch11-AE_head-success|2025-10-22 19:35:45|0:00:57|4.2%|20/480
KICH-raw-batch11-None-success|2025-10-22 19:36:17|0:00:31|4.4%|21/480
KICH-raw-batch12-AE_head-success|2025-10-22 19:37:14|0:00:57|4.6%|22/480
KICH-raw-batch12-None-success|2025-10-22 19:37:45|0:00:31|4.8%|23/480
KICH-raw-batch13-AE_head-success|2025-10-22 19:38:43|0:00:57|5.0%|24/480
KICH-raw-batch13-None-success|2025-10-22 19:39:14|0:00:31|5.2%|25/480
KICH-raw-batch14-AE_head-success|2025-10-22 19:40:11|0:00:56|5.4%|26/480
KICH-raw-batch14-None-success|2025-10-22 19:40:43|0:00:32|5.6%|27/480
KICH-raw-batch15-AE_head-success|2025-10-22 19:41:40|0:00:57|5.8%|28/480
KICH-raw-batch15-None-success|2025-10-22 19:42:12|0:00:31|6.0%|29/480
KICH-raw-batch16-AE_head-success|2025-10-22 19:43:09|0:00:57|6.2%|30/480
KICH-raw-batch16-None-success|2025-10-22 19:43:41|0:00:31|6.5%|31/480
KICH-raw-batch17-AE_head-success|2025-10-22 19:44:39|0:00:58|6.7%|32/480
KICH-raw-batch17-None-success|2025-10-22 19:45:11|0:00:31|6.9%|33/480
KICH-raw-batch18-AE_head-success|2025-10-22 19:46:08|0:00:57|7.1%|34/480
KICH-raw-batch18-None-success|2025-10-22 19:46:40|0:00:31|7.3%|35/480
KICH-raw-batch19-AE_head-success|2025-10-22 19:47:38|0:00:57|7.5%|36/480
KICH-raw-batch19-None-success|2025-10-22 19:48:10|0:00:31|7.7%|37/480
KICH-raw-batch20-AE_head-success|2025-10-22 19:49:07|0:00:57|7.9%|38/480
KICH-raw-batch20-None-success|2025-10-22 19:49:38|0:00:31|8.1%|39/480
KICH-TC-batch1-AE_head-success|2025-10-22 19:50:35|0:00:56|8.3%|40/480
KICH-TC-batch1-None-success|2025-10-22 19:51:07|0:00:31|8.5%|41/480
KICH-TC-batch2-AE_head-success|2025-10-22 19:52:05|0:00:58|8.8%|42/480
KICH-TC-batch2-None-success|2025-10-22 19:52:36|0:00:31|9.0%|43/480
KICH-TC-batch3-AE_head-success|2025-10-22 19:53:34|0:00:57|9.2%|44/480
KICH-TC-batch3-None-success|2025-10-22 19:54:05|0:00:31|9.4%|45/480
KICH-TC-batch4-AE_head-success|2025-10-22 19:55:02|0:00:56|9.6%|46/480
KICH-TC-batch4-None-success|2025-10-22 19:55:33|0:00:31|9.8%|47/480
KICH-TC-batch5-AE_head-success|2025-10-22 19:56:31|0:00:58|10.0%|48/480
KICH-TC-batch5-None-success|2025-10-22 19:57:03|0:00:31|10.2%|49/480
KICH-TC-batch6-AE_head-success|2025-10-22 19:58:00|0:00:56|10.4%|50/480
KICH-TC-batch6-None-success|2025-10-22 19:58:31|0:00:31|10.6%|51/480
KICH-TC-batch7-AE_head-success|2025-10-22 19:59:29|0:00:57|10.8%|52/480
KICH-TC-batch7-None-success|2025-10-22 20:00:00|0:00:31|11.0%|53/480
KICH-TC-batch8-AE_head-success|2025-10-22 20:00:57|0:00:56|11.2%|54/480
KICH-TC-batch8-None-success|2025-10-22 20:01:30|0:00:33|11.5%|55/480
KICH-TC-batch9-AE_head-success|2025-10-22 20:02:27|0:00:57|11.7%|56/480
KICH-TC-batch9-None-success|2025-10-22 20:02:59|0:00:31|11.9%|57/480
KICH-TC-batch10-AE_head-success|2025-10-22 20:03:56|0:00:57|12.1%|58/480
KICH-TC-batch10-None-success|2025-10-22 20:04:27|0:00:31|12.3%|59/480
KICH-TC-batch11-AE_head-success|2025-10-22 20:05:24|0:00:56|12.5%|60/480
KICH-TC-batch11-None-success|2025-10-22 20:05:56|0:00:31|12.7%|61/480
KICH-TC-batch12-AE_head-success|2025-10-22 20:06:53|0:00:57|12.9%|62/480
KICH-TC-batch12-None-success|2025-10-22 20:07:26|0:00:33|13.1%|63/480
KICH-TC-batch13-AE_head-success|2025-10-22 20:08:23|0:00:57|13.3%|64/480
KICH-TC-batch13-None-success|2025-10-22 20:08:55|0:00:31|13.5%|65/480
KICH-TC-batch14-AE_head-success|2025-10-22 20:09:52|0:00:56|13.8%|66/480
KICH-TC-batch14-None-success|2025-10-22 20:10:23|0:00:31|14.0%|67/480
KICH-TC-batch15-AE_head-success|2025-10-22 20:11:20|0:00:57|14.2%|68/480
KICH-TC-batch15-None-success|2025-10-22 20:11:52|0:00:31|14.4%|69/480
KICH-TC-batch16-AE_head-success|2025-10-22 20:12:49|0:00:56|14.6%|70/480
KICH-TC-batch16-None-success|2025-10-22 20:13:20|0:00:31|14.8%|71/480
KICH-TC-batch17-AE_head-success|2025-10-22 20:14:20|0:00:59|15.0%|72/480
KICH-TC-batch17-None-success|2025-10-22 20:14:51|0:00:31|15.2%|73/480
KICH-TC-batch18-AE_head-success|2025-10-22 20:15:48|0:00:56|15.4%|74/480
KICH-TC-batch18-None-success|2025-10-22 20:16:20|0:00:31|15.6%|75/480
KICH-TC-batch19-AE_head-success|2025-10-22 20:17:17|0:00:56|15.8%|76/480
KICH-TC-batch19-None-success|2025-10-22 20:17:49|0:00:31|16.0%|77/480
KICH-TC-batch20-AE_head-success|2025-10-22 20:18:46|0:00:57|16.2%|78/480
KICH-TC-batch20-None-success|2025-10-22 20:19:17|0:00:31|16.5%|79/480
KICH-DESeq-batch1-AE_head-success|2025-10-22 20:20:14|0:00:56|16.7%|80/480
KICH-DESeq-batch1-None-success|2025-10-22 20:20:45|0:00:31|16.9%|81/480
KICH-DESeq-batch2-AE_head-success|2025-10-22 20:21:44|0:00:59|17.1%|82/480
KICH-DESeq-batch2-None-success|2025-10-22 20:22:16|0:00:31|17.3%|83/480
KICH-DESeq-batch3-AE_head-success|2025-10-22 20:23:14|0:00:57|17.5%|84/480
KICH-DESeq-batch3-None-success|2025-10-22 20:23:45|0:00:31|17.7%|85/480
KICH-DESeq-batch4-AE_head-success|2025-10-22 20:24:42|0:00:57|17.9%|86/480
KICH-DESeq-batch4-None-success|2025-10-22 20:25:14|0:00:31|18.1%|87/480
KICH-DESeq-batch5-AE_head-success|2025-10-22 20:26:11|0:00:56|18.3%|88/480
KICH-DESeq-batch5-None-success|2025-10-22 20:26:42|0:00:31|18.5%|89/480
KICH-DESeq-batch6-AE_head-success|2025-10-22 20:27:39|0:00:57|18.8%|90/480
KICH-DESeq-batch6-None-success|2025-10-22 20:28:11|0:00:31|19.0%|91/480
KICH-DESeq-batch7-AE_head-success|2025-10-22 20:29:08|0:00:56|19.2%|92/480
KICH-DESeq-batch7-None-success|2025-10-22 20:29:39|0:00:31|19.4%|93/480
KICH-DESeq-batch8-AE_head-success|2025-10-22 20:30:39|0:01:00|19.6%|94/480
KICH-DESeq-batch8-None-success|2025-10-22 20:31:11|0:00:31|19.8%|95/480
KICH-DESeq-batch9-AE_head-success|2025-10-22 20:32:09|0:00:57|20.0%|96/480
KICH-DESeq-batch9-None-success|2025-10-22 20:32:40|0:00:31|20.2%|97/480
KICH-DESeq-batch10-AE_head-success|2025-10-22 20:33:37|0:00:57|20.4%|98/480
KICH-DESeq-batch10-None-success|2025-10-22 20:34:09|0:00:31|20.6%|99/480
KICH-DESeq-batch11-AE_head-success|2025-10-22 20:35:06|0:00:56|20.8%|100/480
KICH-DESeq-batch11-None-success|2025-10-22 20:35:37|0:00:31|21.0%|101/480
KICH-DESeq-batch12-AE_head-success|2025-10-22 20:36:34|0:00:56|21.2%|102/480
KICH-DESeq-batch12-None-success|2025-10-22 20:37:06|0:00:31|21.5%|103/480
KICH-DESeq-batch13-AE_head-success|2025-10-22 20:38:03|0:00:56|21.7%|104/480
KICH-DESeq-batch13-None-success|2025-10-22 20:38:34|0:00:31|21.9%|105/480
KICH-DESeq-batch14-AE_head-success|2025-10-22 20:39:31|0:00:56|22.1%|106/480
KICH-DESeq-batch14-None-success|2025-10-22 20:40:06|0:00:35|22.3%|107/480
KICH-DESeq-batch15-AE_head-success|2025-10-22 20:41:03|0:00:57|22.5%|108/480
KICH-DESeq-batch15-None-success|2025-10-22 20:41:35|0:00:31|22.7%|109/480
KICH-DESeq-batch16-AE_head-success|2025-10-22 20:42:32|0:00:57|22.9%|110/480
KICH-DESeq-batch16-None-success|2025-10-22 20:43:03|0:00:31|23.1%|111/480
KICH-DESeq-batch17-AE_head-success|2025-10-22 20:44:00|0:00:56|23.3%|112/480
KICH-DESeq-batch17-None-success|2025-10-22 20:44:32|0:00:31|23.5%|113/480
KICH-DESeq-batch18-AE_head-success|2025-10-22 20:45:29|0:00:57|23.8%|114/480
KICH-DESeq-batch18-None-success|2025-10-22 20:46:01|0:00:31|24.0%|115/480
KICH-DESeq-batch19-AE_head-success|2025-10-22 20:46:58|0:00:57|24.2%|116/480
KICH-DESeq-batch19-None-success|2025-10-22 20:47:29|0:00:31|24.4%|117/480
KICH-DESeq-batch20-AE_head-success|2025-10-22 20:48:27|0:00:57|24.6%|118/480
KICH-DESeq-batch20-None-success|2025-10-22 20:48:58|0:00:31|24.8%|119/480
PAAD-raw-batch1-AE_head-success|2025-10-22 20:49:56|0:00:57|25.0%|120/480
PAAD-raw-batch1-None-success|2025-10-22 20:50:28|0:00:31|25.2%|121/480
PAAD-raw-batch2-AE_head-success|2025-10-22 20:51:29|0:01:01|25.4%|122/480
PAAD-raw-batch2-None-success|2025-10-22 20:52:02|0:00:32|25.6%|123/480
PAAD-raw-batch3-AE_head-success|2025-10-22 20:53:00|0:00:58|25.8%|124/480
PAAD-raw-batch3-None-success|2025-10-22 20:53:32|0:00:31|26.0%|125/480
PAAD-raw-batch4-AE_head-success|2025-10-22 20:54:30|0:00:57|26.2%|126/480
PAAD-raw-batch4-None-success|2025-10-22 20:55:02|0:00:32|26.5%|127/480
PAAD-raw-batch5-AE_head-success|2025-10-22 20:55:59|0:00:57|26.7%|128/480
PAAD-raw-batch5-None-success|2025-10-22 20:56:31|0:00:31|26.9%|129/480
PAAD-raw-batch6-AE_head-success|2025-10-22 20:57:29|0:00:57|27.1%|130/480
PAAD-raw-batch6-None-success|2025-10-22 20:58:01|0:00:32|27.3%|131/480
PAAD-raw-batch7-AE_head-success|2025-10-22 20:58:59|0:00:57|27.5%|132/480
PAAD-raw-batch7-None-success|2025-10-22 20:59:31|0:00:32|27.7%|133/480
PAAD-raw-batch8-AE_head-success|2025-10-22 21:00:29|0:00:57|27.9%|134/480
PAAD-raw-batch8-None-success|2025-10-22 21:01:01|0:00:32|28.1%|135/480
PAAD-raw-batch9-AE_head-success|2025-10-22 21:01:59|0:00:57|28.3%|136/480
PAAD-raw-batch9-None-success|2025-10-22 21:02:31|0:00:32|28.5%|137/480
PAAD-raw-batch10-AE_head-success|2025-10-22 21:03:29|0:00:57|28.7%|138/480
PAAD-raw-batch10-None-success|2025-10-22 21:04:06|0:00:37|29.0%|139/480
PAAD-raw-batch11-AE_head-success|2025-10-22 21:05:04|0:00:58|29.2%|140/480
PAAD-raw-batch11-None-success|2025-10-22 21:05:36|0:00:32|29.4%|141/480
PAAD-raw-batch12-AE_head-success|2025-10-22 21:06:34|0:00:57|29.6%|142/480
