SyNG-BTS实验记录 - PAAD_5-2和READ_5-2
格式: 癌症种类-标准化方法-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
====================================================================================================
PAAD_5-2-raw-batch1-AE_head-success|2025-11-06 19:08:02|0:01:24|0.0%|0/360
PAAD_5-2-raw-batch1-None-success|2025-11-06 19:08:49|0:00:47|0.3%|1/360
PAAD_5-2-raw-batch1-Gaussian_head-success|2025-11-06 19:09:53|0:01:03|0.6%|2/360
PAAD_5-2-raw-batch2-AE_head-success|2025-11-06 19:11:16|0:01:22|0.8%|3/360
PAAD_5-2-raw-batch2-None-success|2025-11-06 19:11:59|0:00:43|1.1%|4/360
PAAD_5-2-raw-batch2-Gaussian_head-success|2025-11-06 19:12:54|0:00:55|1.4%|5/360
PAAD_5-2-raw-batch3-AE_head-success|2025-11-06 19:14:07|0:01:13|1.7%|6/360
PAAD_5-2-raw-batch3-None-success|2025-11-06 19:14:48|0:00:40|1.9%|7/360
PAAD_5-2-raw-batch3-Gaussian_head-success|2025-11-06 19:15:43|0:00:55|2.2%|8/360
PAAD_5-2-raw-batch4-AE_head-success|2025-11-06 19:16:56|0:01:13|2.5%|9/360
PAAD_5-2-raw-batch4-None-success|2025-11-06 19:17:35|0:00:39|2.8%|10/360
PAAD_5-2-raw-batch4-Gaussian_head-success|2025-11-06 19:18:31|0:00:55|3.1%|11/360
PAAD_5-2-raw-batch5-AE_head-success|2025-11-06 19:19:39|0:01:07|3.3%|12/360
PAAD_5-2-raw-batch5-None-success|2025-11-06 19:20:16|0:00:37|3.6%|13/360
PAAD_5-2-raw-batch5-Gaussian_head-success|2025-11-06 19:21:18|0:01:01|3.9%|14/360
PAAD_5-2-raw-batch6-AE_head-success|2025-11-06 19:22:33|0:01:15|4.2%|15/360
PAAD_5-2-raw-batch6-None-success|2025-11-06 19:23:09|0:00:36|4.4%|16/360
PAAD_5-2-raw-batch6-Gaussian_head-success|2025-11-06 19:24:02|0:00:52|4.7%|17/360
PAAD_5-2-raw-batch7-AE_head-success|2025-11-06 19:25:13|0:01:10|5.0%|18/360
PAAD_5-2-raw-batch7-None-success|2025-11-06 19:25:48|0:00:35|5.3%|19/360
PAAD_5-2-raw-batch7-Gaussian_head-success|2025-11-06 19:26:40|0:00:52|5.6%|20/360
PAAD_5-2-raw-batch8-AE_head-success|2025-11-06 19:27:48|0:01:07|5.8%|21/360
PAAD_5-2-raw-batch8-None-success|2025-11-06 19:28:23|0:00:35|6.1%|22/360
PAAD_5-2-raw-batch8-Gaussian_head-success|2025-11-06 19:29:16|0:00:52|6.4%|23/360
