特定配置SyNG-BTS实验记录
配置: READ/UCS/KICH + TC标准化 + CVAE1-10模型 + 三种off_aug方法
格式: 癌症种类-TC-batch编号-增强方法-状态|时间戳|耗时|完成比例|已完成/总数
====================================================================================================
READ-TC-batch1-None-success|2025-10-24 16:16:18|0:00:34|0.0%|0/180
READ-TC-batch1-AE_head-success|2025-10-24 16:17:17|0:00:59|0.6%|1/180
READ-TC-batch1-Gaussian-success|2025-10-24 16:17:55|0:00:37|1.1%|2/180
READ-TC-batch2-None-success|2025-10-24 16:18:28|0:00:33|1.7%|3/180
READ-TC-batch2-AE_head-success|2025-10-24 16:19:24|0:00:56|2.2%|4/180
READ-TC-batch2-Gaussian-success|2025-10-24 16:20:00|0:00:36|2.8%|5/180
READ-TC-batch3-None-success|2025-10-24 16:20:31|0:00:30|3.3%|6/180
READ-TC-batch3-AE_head-success|2025-10-24 16:21:25|0:00:54|3.9%|7/180
READ-TC-batch3-Gaussian-success|2025-10-24 16:22:00|0:00:35|4.4%|8/180
READ-TC-batch4-None-success|2025-10-24 16:22:31|0:00:30|5.0%|9/180
READ-TC-batch4-AE_head-success|2025-10-24 16:23:25|0:00:53|5.6%|10/180
READ-TC-batch4-Gaussian-success|2025-10-24 16:24:00|0:00:35|6.1%|11/180
READ-TC-batch5-None-success|2025-10-24 16:24:30|0:00:30|6.7%|12/180
READ-TC-batch5-AE_head-success|2025-10-24 16:25:25|0:00:54|7.2%|13/180
READ-TC-batch5-Gaussian-success|2025-10-24 16:26:00|0:00:35|7.8%|14/180
READ-TC-batch6-None-success|2025-10-24 16:26:33|0:00:32|8.3%|15/180
READ-TC-batch6-AE_head-success|2025-10-24 16:27:28|0:00:55|8.9%|16/180
READ-TC-batch6-Gaussian-success|2025-10-24 16:28:05|0:00:37|9.4%|17/180
READ-TC-batch7-None-success|2025-10-24 16:28:38|0:00:32|10.0%|18/180
READ-TC-batch7-AE_head-success|2025-10-24 16:29:33|0:00:54|10.6%|19/180
